"Timestamp","Which color do you associate with Track 1","Which color do you associate with Track 2?","Which color do you associate with Track 3?","Which color do you associate with Track 4?","Which color do you associate with Track 5?","Which color do you associate with Track 6?","Which color do you associate with Track 7?","Which color do you associate with Track 8?","Which color do you associate with Track 9?","Which color do you associate with Track 10?","How old are you","What is your gender"
"2022/05/04 2:58:11 PM GMT+2","Green","Purple","Purple","Blue","Blue","White","Purple","Yellow","Green","Blue","15-25","Male"
"2022/05/04 3:05:32 PM GMT+2","Green","Pink","Purple","Blue","Yellow","Black","White","Blue","Pink","Yellow","15-25","Male"
"2022/05/05 10:18:59 AM GMT+2","Purple","Green","Yellow","Pink","Yellow","White","Blue","Purple","Yellow","Purple","26-35","Female"
"2022/05/05 10:36:26 AM GMT+2","Yellow","Blue","White","Green","Blue","Purple","White","Green","Yellow","Black","15-25","Female"
"2022/05/07 9:34:23 AM GMT+2","Black","Yellow","Red","White","Green","Blue","Blue","Yellow","Pink","Green","26-35","Male"
"2022/05/08 7:59:17 PM GMT+2","Yellow","White","Blue","White","Yellow","Black","Red","Purple","Purple","Blue","26-35","Female"
"2022/05/08 8:03:41 PM GMT+2","Green","White","Purple","Yellow","Green","White","Black","Pink","Red","Yellow","26-35","Female"
"2022/05/09 11:41:12 AM GMT+2","Pink","White","Blue","Green","Yellow","Blue","Yellow","Red","Yellow","Pink","15-25","Other"
"2022/05/12 10:47:58 AM GMT+2","Purple","Blue","Red","Pink","Yellow","White","Black","Purple","Red","Black","15-25","Male"
"2022/05/12 7:56:18 PM GMT+2","Blue","Pink","Red","White","Green","White","Purple","Red","Yellow","Green","26-35","Female"
"2022/05/12 11:24:04 PM GMT+2","Yellow","Blue","White","White","Green","Purple","Red","Red","Black","Purple","26-35","Female"
"2022/05/13 1:16:08 PM GMT+2","Purple","Yellow","White","Green","Blue","Pink","Red","Red","Purple","Purple","26-35","Male"
"2022/05/13 1:21:24 PM GMT+2","Pink","White","Yellow","Purple","Blue","Red","Green","Purple","Pink","Blue","56-65","Female"
"2022/05/14 10:56:31 AM GMT+2","Purple","White","Red","Blue","Yellow","Blue","Black","Green","Blue","Purple","26-35","Male"
"2022/05/14 11:44:21 AM GMT+2","Green","Yellow","Purple","Blue","White","Black","Pink","Green","Yellow","Purple","26-35","Male"
"2022/05/14 12:20:55 PM GMT+2","Green","Pink","White","Purple","Yellow","Blue","Green","Blue","White","Purple","15-25","Male"
"2022/05/14 1:02:25 PM GMT+2","Black","Blue","Red","White","Pink","White","Purple","Green","Yellow","Blue","26-35","Male"
"2022/05/14 4:17:06 PM GMT+2","Purple","White","Red","White","Yellow","White","Purple","Yellow","White","Purple","15-25","Female"
"2022/05/14 4:30:53 PM GMT+2","Yellow","Yellow","Purple","Blue","Green","Blue","White","Yellow","Green","Red","15-25","Female"
"2022/05/14 5:16:20 PM GMT+2","Purple","Blue","Yellow","White","Red","Green","Blue","Green","Pink","Purple","15-25","Female"
"2022/05/16 3:56:00 PM GMT+2","Purple","Blue","White","Blue","Blue","White","Black","Blue","White","Green","56-65","Male"
"2022/05/16 8:25:14 PM GMT+2","Yellow","Blue","Pink","Blue","Purple","Black","Purple","Yellow","Pink","Red","15-25","Prefer not to say"
"2022/05/17 5:57:58 PM GMT+2","Red","Yellow","Blue","Pink","Green","Black","Purple","Red","White","White","46-55","Male"
