name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_B- major,key_C major,key_F major,key_G major,key_a minor,key_b minor,key_e minor,key_f minor,time signature_2/8,time signature_3/4,time signature_4/4
PINK.mid,0.7388190542346685,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
Pink-Cadillac-2.mid,0.7930143217395685,35,89,54,125,100,Pink,0,0,0,0,0,0,0,0,1,0,0,1
Pink-Cadillac-1.mid,0.8648422696828836,22,89,67,132,109,Pink,0,0,1,0,0,0,0,0,0,0,0,1
pink_panther2.mid,0.7526019925318989,24,84,60,125,99,Pink,0,0,0,1,0,0,0,0,0,0,0,1
Movie_Themes_-_The_Pink_Panther_-_by_Henry_Mancini.mid,0.7026205668463497,28,84,56,120,100,Pink,0,0,0,0,0,0,0,1,0,0,0,1
PINK_PAN.MID,0.7082538657491526,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
John_Mellencamp_-_Pink_Houses.mid,0.6992725286427395,29,82,53,120,106,Pink,0,0,0,0,1,0,0,0,0,0,0,1
J.MELLECAMP.Pink houses.mid,0.6992725286427395,29,82,53,120,106,Pink,0,0,0,0,1,0,0,0,0,0,0,1
pink_panther.mid,0.6393273827165015,36,76,40,120,94,Pink,0,0,0,0,0,1,0,0,0,0,0,1
CherryPink.mid,0.8682230476721652,36,82,46,110,92,Pink,0,0,0,1,0,0,0,0,0,0,0,1
Bruce Springsteen - Pink Cadillac.mid,0.5394287322137654,28,47,19,127,102,Pink,0,0,0,0,0,0,1,0,0,0,0,1
Aretha Franklin - Pink Cadillac.mid,0.6887905494248359,19,86,67,126,85,Pink,1,0,0,0,0,0,0,0,0,0,0,1
Aerosmith_-_Pink.mid,0.833603256127032,36,91,55,88,108,Pink,0,0,1,0,0,0,0,0,0,0,1,0
Yago_silva_-_Pink_Panther_Theme.mid.mid,0.7008490876888113,28,76,48,123,84,Pink,0,0,0,0,0,0,0,1,0,0,0,1
Right Face - Pink Sand (Original Mix).mid,0.7606082842078035,62,77,15,130,100,Pink,0,1,0,0,0,0,0,0,0,0,0,1
PinkSpider.mid,0.7139048287021934,12,83,71,56,91,Pink,0,0,0,0,0,0,1,0,0,0,0,1
ppanther03.mid,0.4351960624396797,28,78,50,111,107,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pinkshoelaces.mid,0.9445139122658425,24,81,57,130,69,Pink,0,0,0,1,0,0,0,0,0,0,0,1
PinkPanther7.mid,0.7388190542346685,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
PinkPanther9.mid,0.7081731207492084,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
PinkPanther8.mid,0.6701236357987765,24,64,40,300,84,Pink,0,0,0,0,0,0,0,1,0,0,0,1
PinkPanther6.mid,0.7082538657491526,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pinkpanther05.mid,0.7357578024826438,24,91,67,120,79,Pink,0,0,1,0,0,0,0,0,0,0,0,1
PinkPanther5.mid,0.6094380221948221,28,81,53,120,104,Pink,0,0,1,0,0,0,0,0,0,0,0,1
PinkPanther4.mid,0.7400172183611956,35,76,41,100,64,Pink,0,0,0,0,0,0,0,1,0,0,0,1
pinkpanther04.mid,0.7081731207492084,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
PinkPanther3.mid,0.6543037691658133,24,88,64,255,90,Pink,0,0,0,0,0,0,0,1,0,0,0,1
pinkpanther03.mid,0.7026205668463497,28,84,56,120,100,Pink,0,0,0,0,0,0,0,1,0,0,0,1
PinkPanther2.mid,0.7026205668463497,28,84,56,120,100,Pink,0,0,0,0,0,0,0,1,0,0,0,1
PINKPAN1.MID,0.6701236357987765,24,64,40,300,84,Pink,0,0,0,0,0,0,0,1,0,0,0,1
PinkPanther.mid,0.7026205668463497,28,84,56,120,100,Pink,0,0,0,0,0,0,0,1,0,0,0,1
pinkpant3.mid,0.7090582324024085,24,88,64,124,89,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pinkpant2.mid,0.7081731207492084,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pinkelephants.mid,0.7575788681468167,62,77,15,134,73,Pink,0,0,0,1,0,0,0,0,0,1,0,0
pink.panther.mid,0.4351960624396797,28,78,50,125,107,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pink04.mid,0.7027903089467744,28,76,48,123,84,Pink,0,0,0,0,0,0,0,1,0,0,0,1
pinkband.mid,0.7357578024826438,24,91,67,120,79,Pink,0,0,1,0,0,0,0,0,0,0,0,1
pink03.mid,0.6393273827165015,36,76,40,120,94,Pink,0,0,0,0,0,1,0,0,0,0,0,1
pink2.mid,0.7083539826617219,28,88,60,124,90,Pink,0,0,0,0,0,1,0,0,0,0,0,1
Pink(1).mid,0.833603256127032,36,91,55,88,108,Pink,0,0,1,0,0,0,0,0,0,0,1,0
