name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_G major,key_a minor,key_b minor,key_c minor,key_e minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/16,time signature_4/4
RED.MID,0.5870224186402561,28,82,54,183,103,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
redbaron.mid,0.5477848877641666,27,76,49,80,111,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
redbean.mid,0.8881767437567675,55,91,36,56,122,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
red3.mid,0.9435925776351491,26,73,47,116,105,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
red03.mid,0.9677118714159626,46,72,26,154,100,Red,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
red2.mid,0.5671603401777827,48,95,47,64,99,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Red-With-Angor.mid,0.8430324973373443,29,93,64,105,93,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RED-WING.MID,0.8238150548758252,31,83,52,140,68,Red,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-Sun-(Modern-Style).mid,0.8791907561095822,36,81,45,120,122,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Red-Sector-_A_.mid,0.9012166660660378,28,105,77,116,90,Red,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Red-River-Rock-1.mid,0.9147280130921635,29,93,64,167,111,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-Roses-For-My-Lady.mid,0.8461886506052684,29,91,62,126,82,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-River.mid,0.8966128729179627,28,93,65,133,79,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-Rubber-Ball.mid,0.7274780575454411,26,87,61,184,102,Red,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-River-Rock-2.mid,0.756594517205252,35,84,49,170,88,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-Red-Wine.mid,0.621704019421778,30,87,57,93,125,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Red-Red-Wine-3.mid,0.6995658359080025,36,87,51,94,75,Red,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red-Red-Wine-2.mid,0.7029863564447023,30,87,57,90,99,Red,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
