name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_C major,key_D major,key_E major,key_F major,key_F# major,key_G major,key_f minor,key_g minor,time signature_2/4,time signature_4/4
YellowRoseOfTexas7.mid,0.931365827110076,35,77,42,275,76,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRoseOfTexas3.mid,0.7931356115820479,31,77,46,120,87,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRoseOfTexas4.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRoseOfTexas6.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRoseOfTexas2.mid,0.9423193554353068,60,77,17,210,67,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRoseOfTexas1.mid,0.8950499131898236,36,79,43,20,90,Yellow,0,0,0,0,0,0,1,0,0,1,0
yellowrose3.mid,0.8989921392791007,31,77,46,120,107,Yellow,0,1,0,0,0,0,0,0,0,0,1
yellowrose2.mid,0.8287928179432545,31,73,42,97,80,Yellow,0,0,0,0,0,1,0,0,0,1,0
YellowRose.mid,0.8851699243695113,31,91,60,145,99,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowRiver.mid,0.8853140211604367,28,79,51,126,90,Yellow,0,0,1,0,0,0,0,0,0,0,1
yellowribbon.mid,0.9447401125905748,38,72,34,155,126,Yellow,0,1,0,0,0,0,0,0,0,0,1
Yellow.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0,0,0,0,0,0,0,0,1
yellowr2.mid,0.8752659319160564,31,74,43,110,100,Yellow,0,0,0,0,0,0,1,0,0,1,0
Yellow-Sun-Of-Equador.mid,0.5727041177113327,38,82,44,110,70,Yellow,0,0,0,0,0,0,0,0,1,0,1
yellow2.mid,0.5297453650912332,0,87,87,145,94,Yellow,1,0,0,0,0,0,0,0,0,0,1
yellowbird.mid,0.8778891815197831,36,77,41,120,103,Yellow,0,0,0,0,1,0,0,0,0,0,1
yellowleadbetter.mid,0.7906336105265979,28,80,52,120,127,Yellow,0,0,0,1,0,0,0,0,0,0,1
yellowr.mid,0.8752659319160564,31,74,43,109,100,Yellow,0,0,0,0,0,0,1,0,0,1,0
Yellow-Submarine.mid,0.917815412081145,32,83,51,108,82,Yellow,0,0,0,0,0,1,0,0,0,0,1
Yellow-River-2.mid,0.8845891411248922,28,79,51,123,83,Yellow,0,0,1,0,0,0,0,0,0,0,1
Yellow-River-1.mid,0.907512702744847,28,78,50,120,87,Yellow,0,0,0,1,0,0,0,0,0,0,1
YELLOW_R.MID,0.907512702744847,28,78,50,120,87,Yellow,0,0,0,1,0,0,0,0,0,0,1
yellow_submarine_in_pepperland.mid,0.8653630040345922,31,84,53,116,87,Yellow,0,0,0,0,0,0,1,0,0,0,1
Yellow_Bird.mid,0.9354850383363161,29,96,67,114,69,Yellow,0,0,0,0,1,0,0,0,0,0,1
yellow_submarine.mid,0.8961206987302768,32,84,52,107,75,Yellow,0,0,0,0,0,1,0,0,0,0,1
yellow_submarine2.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0,0,0,0,1,0,0,0,1
Tony_Orlando_-_Tie_a_Yellow_Ribbon.mid,0.8940276125953891,29,101,72,160,83,Yellow,0,0,0,0,1,0,0,0,0,0,1
The_Beatles_-_Yellow_Submarine.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0,0,0,0,1,0,0,0,1
Donovan_-_Mellow_Yellow.mid,0.7777597831419275,19,77,58,100,102,Yellow,0,0,0,0,0,0,0,1,0,0,1
Bluegrass_-_Yellow_Rose_Of_Texas.mid,0.8989921392791007,31,77,46,120,107,Yellow,0,1,0,0,0,0,0,0,0,0,1
Brian_Hyland_-_Yellow_Polka_Dot_Bikini.mid,0.867803296266673,38,93,55,136,82,Yellow,0,1,0,0,0,0,0,0,0,0,1
YellowSubmarine.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0,0,0,0,1,0,0,0,1
YellowSubmarine2.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0,0,0,0,1,0,0,0,1
yellowsu.mid,0.8653516988538441,31,84,53,110,108,Yellow,0,0,0,0,0,0,1,0,0,0,1
YellowSub.mid,0.9172794858325419,30,102,72,120,117,Yellow,0,0,0,0,0,1,0,0,0,0,1
YellowRoseOfTexas8.mid,0.9423193554353068,60,77,17,210,67,Yellow,0,1,0,0,0,0,0,0,0,0,1
