name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4,time signature_4/8
Black_Identity_-_Blacker_then_Black__Public_Enemy_1_20081107130722.mid,0.7828633941084474,42,86,44,148,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Black_Diamond.mid,0.6342231955920495,27,87,60,150,99,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
black_clouds.mid,0.8324579302340402,23,68,45,92,93,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
black_balloon.mid,0.8741581006138716,29,85,56,103,80,Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Sheep.mid,0.7580176518311219,31,71,40,112,85,Black,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Orpheus.mid,0.8917510694839658,28,96,68,200,100,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Mountain.mid,0.8866813095470711,40,84,44,120,100,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Magic Woman 2.mid,0.8201750778448538,31,86,55,117,81,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Black Magic Woman 1.mid,0.8576872077537542,31,86,55,112,79,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Black Is the Color.mid,0.8684932663797,23,78,55,96,58,Black,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Identity - Blckr Thn Blck (The Prophet vs. JDX Remix).mid,0.6901183598530451,49,74,25,145,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Black Identity - Blacker Then Black.mid,0.7828633941084474,42,86,44,148,100,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Black Hole Sun.mid,0.7066717869587906,27,90,63,52,117,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Black Hill.mid,0.8052641190285572,28,81,53,185,91,Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Dog.mid,0.7192718209431461,28,88,60,150,114,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Clouds.mid,0.8324579302340402,23,68,45,92,93,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Black Friday.mid,0.6505117668089972,28,92,64,120,102,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Black Cow.mid,0.5271016420803523,28,86,58,94,92,Black,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Diamond.mid,0.6342231955920495,27,87,60,150,99,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Black Celebration.mid,0.67317142392658,35,74,39,120,121,Black,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Balloon.mid,0.8741581006138716,29,85,56,103,80,Black,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ben Webster - Bye Bye Blackbird.mid,0.9245264162877246,21,90,69,152,78,Black,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beatles_Blackbird.mid,0.6749640198032086,43,79,36,96,98,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amorphis - Black Winterday.mid,0.9674297074266642,25,80,55,140,96,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Amy Winehouse - back to black.mid,0.8688599193659595,29,81,52,123,110,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ACDC - Back in Black.mid,0.7751946265071563,31,88,57,94,116,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baby'sInBlack.mid,0.8722817770521907,36,81,45,99,96,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beatles - Babys In Black.mid,0.8722817770521907,36,81,45,99,96,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beatles_Babys_In_Black.mid,0.8722817770521907,36,81,45,99,96,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Baby_s In Black.mid,0.8722817770521907,36,81,45,99,96,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
babys_in_black.mid,0.7964765111063131,35,66,31,100,114,Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
