name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_D major,key_E- major,key_F major,key_G major,key_a minor,key_b- minor,key_c minor,key_d minor,key_e minor,key_f minor,key_g minor,time signature_1/4,time signature_1/8,time signature_2/2,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4
Greenlnd.mid,0.9096692347139455,33,86,53,104,102,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greenlnd2.mid,0.9092241633156131,33,79,46,104,102,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greenhope.mid,0.7992061438283575,43,91,48,108,64,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenHornet.mid,0.8238994132126083,33,77,44,164,100,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Greenhome.mid,0.8717613922542918,26,95,69,90,81,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greenhil2.mid,0.5684781836697228,67,81,14,89,100,Green,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
greenhil.mid,0.8607124447544151,46,70,24,89,110,Green,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Greengrv.mid,0.6062424560884841,64,83,19,200,127,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenGreenGrassOfHome.mid,0.8257026814009859,28,79,51,95,88,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GREENGRS.MID,0.9187431901346215,34,89,55,96,87,Green,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenGreenGrassOfHome2.mid,0.9187431901346215,34,89,55,96,87,Green,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greengre.mid,0.9041508976675529,34,89,55,99,73,Green,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greengrass.mid,0.8360137857667314,31,86,55,93,82,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greengr1.mid,0.8358962344304404,31,86,55,93,82,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greenery.mid,0.8961215408329501,38,77,39,120,72,Green,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Greendoor1.mid,0.9373331360520891,28,90,62,135,87,Green,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greencastle.mid,0.8779700020966541,62,83,21,180,110,Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
greenberet2.mid,0.7894148618615839,31,72,41,153,93,Green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greenberet.mid,0.7894148618615839,31,72,41,153,93,Green,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GreenAcres2.mid,0.8825674446055827,33,100,67,125,89,Green,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
greenbag.mid,0.7492096668979428,35,78,43,102,109,Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Green07.mid,0.9186312272120496,34,89,55,96,87,Green,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
green06.mid,0.8598131064299905,54,66,12,78,127,Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
