name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_g minor,key_g# minor,time signature_2/4,time signature_3/4,time signature_3/8,time signature_4/4,time signature_5/4
Rakotondrabe_Miranto_Ny_Aina_-_white_bird.mid,0.8774087795716244,36,75,39,70,54,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Procol_Harum_-_A_Whiter_Shade_of_Pale.mid,0.9115402617991996,24,91,67,72,73,White,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nightwish_-_White_Night_Fantasy.mid,0.8230507087248423,24,87,63,110,94,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Marilyn_Manson_-_Coma_White.mid,0.8806435374272383,29,86,57,74,103,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It_s_A_Beautiful_Day_-_White_Bird.mid,0.7134688904583637,22,92,70,117,116,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
It_s A Beautiful Day - White Bird.mid,0.7134688904583637,22,92,70,117,116,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Jefferson_Airplane_-_White_Rabbit.mid,0.7479773223048782,33,83,50,101,81,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jefferson-whiterabbit.mid,0.7479773223048782,33,83,50,101,81,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
love_in_white.mid,0.9050101348924242,31,82,51,63,86,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Gundam Wing_ Endless Waltz - White Reflection.mid,0.9309696664616309,36,91,55,128,66,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Great_Big_White_World.mid,0.8032943050241079,24,84,60,120,102,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Dowland_Mrs_White_s_Nothing.mid,0.850423508505587,40,71,31,100,114,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
foreigner-white_lie.mid,0.911277061628324,24,86,62,131,84,White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bobina - Whitemane Horsey.mid,0.7586886447902804,29,60,31,140,82,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
coma white_(Marilyn Manson).mid,0.7860698235931323,29,86,57,80,98,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cream-white_room.mid,0.8312972848401377,23,91,68,104,84,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
coldplay-white_shadows.mid,0.8619344133509991,35,75,40,127,86,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Cream_-_White_Room.mid,0.8311806768965339,23,91,68,104,83,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
