,name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,key_g# minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_4/4,time signature_4/8,key_B major,time signature_3/8,time signature_1/8,time signature_2/2,time signature_4/16,time signature_5/4
0,Black_Identity_-_Blacker_then_Black__Public_Enemy_1_20081107130722.mid,0.7828633941084474,42,86,44,148,100,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Black_Diamond.mid,0.6342231955920495,27,87,60,150,99,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,black_clouds.mid,0.8324579302340402,23,68,45,92,93,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,black_balloon.mid,0.8741581006138716,29,85,56,103,80,Black,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Black Sheep.mid,0.7580176518311219,31,71,40,112,85,Black,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Black Orpheus.mid,0.8917510694839658,28,96,68,200,100,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Black Mountain.mid,0.8866813095470711,40,84,44,120,100,Black,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Black Magic Woman 2.mid,0.8201750778448538,31,86,55,117,81,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Black Magic Woman 1.mid,0.8576872077537542,31,86,55,112,79,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Black Is the Color.mid,0.8684932663797,23,78,55,96,58,Black,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Black Identity - Blckr Thn Blck (The Prophet vs. JDX Remix).mid,0.6901183598530451,49,74,25,145,100,Black,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
